"codUASG","nomeUASG"
989701,"ADMINISTRACAO REGIONAL DE BRASILIA"
925873,"ADMINISTRAÇÃO REGIONAL DE SOBRADINHO"
926205,"AGÊNCIA DE FISCALIZAÇÃO DO DISTRITO FEDERAL"
926033,"ATIVOS S.A SECURITIZADORA DE CREDITOS FINANCE"
925008,"BANCO DE BRASÍLIA S/A"
974004,"CAMARA LEGISLATIVA DO DISTRITO FEDERAL"
926245,"CENTRAIS DE ABASTECIMENTO DO DISTRITO FEDERAL"
925341,"CODEPLAN COMP.DE DESENV.DO PLANALTO CENTRAL"
974200,"COMPANHIA DE AGUA E ESGOTOS DE BRASILIA-CAESB"
925992,"COMPANHIA DE DESENV. HABITACIONAL DO DF"
974100,"COMPANHIA DE ELETRICIDADE DE BRASILIA"
925046,"COMPANHIA DO METROPOLITANO DO DIST. FEDERAL"
926247,"COMPANHIA IMOBILIÁRIA DE BRASILIA - TERRACAP"
926162,"COMPANHIA URBANIZ. DA NOVA CAPITAL DO BRASIL"
926514,"CONTROLADORIA GERAL DO DISTRITO FEDERAL"
926251,"COORDENADORIA DE INTEGRACAO DAS ACOES SOCIAIS"
925295,"CORPO DE BOMBEIROS M. DO DISTRITO FEDERAL"
926314,"DEFENSORIA PÚBLICA DO DISTRITO FEDERAL"
926120,"DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DF"
926142,"DEPARTAMENTO DE TRÂNSITO DO DISTRITO FEDERAL"
926241,"EMPRESA DE ASSITENCIA TECNICA E EXT. RURAL"
925629,"FUNDAÇÃO DE DESENVOLVIMENTO RURAL - DF"
926334,"FUNDACAO HEMOCENTRO DE BRASILIA"
926401,"FUNDAÇÃO JARDIM ZOOLÓGICO DE BRASILIA"
974001,"GOVERNO DO DISTRITO FEDERAL"
910004,"GOVERNO DO DISTRITO FEDERAL - CONTA UNICA"
926339,"INSTITUTO DO MEIO AMBIENTE E DOS R H DF"
926015,"POLÍCIA CIVIL DO DISTRITO FEDERAL"
926016,"POLÍCIA MILITAR DO DISTRITO FEDERAL"
926121,"PROCURADORIA-GERAL DO DISTRITO FEDERAL"
926523,"SEC DE EST DA AGR, ABASTECIMENTO E DESN RURAL"
926571,"SEC DE EST DA CASA CIVIL REL INST E SOCIAIS"
926154,"SEC. DE EST. DE GES. ADM. E DESBUROCRATIZAÇÃO"
925988,"SEC.DE EST. MEIO AMBIENTE E RECURSOS HIDRICOS"
926293,"SEC.EST.DESEN.SOCIAL E TRANSFERENCIADE RENDA"
926209,"SECR. DE EST. DE GESTÃO DO TER. E HABITAÇÃO"
926316,"SECRET. DE PUBLICIDADE INSTITUCIONAL DO DF"
926266,"SECRET.DE ESTADO E CIÊNCIA, TECNOL.E INOVAÇÃO"
926424,"SECRETARIA DE ESTADO DE ASSUNTOS ESTRATEGICOS"
926283,"SECRETARIA DE ESTADO DE DEFESA CIVIL DO DF"
450432,"SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO"
926246,"SECRETARIA DE ESTADO DE ESPORTE"
974002,"SECRETARIA DE ESTADO DE FAZENDA DO DF"
926242,"SECRETARIA DE ESTADO DE GOVERNO"
925041,"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO"
926119,"SECRETARIA DE ESTADO DE SAÚDE - GDF"
450107,"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA"
926210,"SECRETARIA DE ESTADO DE TRABALHO"
926267,"SECRETARIA DE ESTADO DE TRANSPORTE"
457319,"SECRETARIA DE ESTADO DE TURISMO DO DF"
926254,"SERVICO DE LIMPEZA URBANA EM BRASILIA"
926167,"SOCIED.DE TRANSP.COLETIVO DE BRASILIA LTDA."
925009,"SUBSECRETARIA GESTAO RECURSOS LOGISTICOS/GDF"
974003,"TRIBUNAL DE CONTAS DO DISTRITO FEDERAL"
926141,"UNIDADE DE ADMINISTRAÇÃO GERAL"
926860,"ADMINISTRAÇÃO REGIONAL DE SANTA MARIA"
926554,"ADMINISTRAÇÃO REGIONAL DA CANDANGOLÂNDIA"
926017,"AGÊNCIA REGULAD.DE ÁGUAS, ENERGIA E SANEAM.DF"
926072,"BRB ADMINIST.E CORRETORA DE SEGUROS S/A"
926517,"BSB ADMINISTRADORA DE ATIVOS S/A"
926354,"FUNDACAO DE AMPARO AO TRABALHADOR PRESO DO DF"
925978,"TRANSPORTE URBANO DO DISTRITO FEDERAL"
926759,"SECRETARIA DE ESTADO DE CULTURA"
